from,to,weight
MFG,BP,10
MFG,PT,12
MFG,CH,8
MFG,EL,7
MFG,IN,6
MFG,BD,9
BP,BC,14
BP,BMS,10
BP,TC,8
PT,MOT,16
PT,INV,12
PT,GB,9
CH,SUS,7
CH,BRK,6
CH,WHL,5
EL,PCB,11
EL,SEN,8
EL,DIS,13
IN,SEAT,6
IN,DASH,5
IN,UPH,4
BD,STL,9
BD,GLS,10
BD,PNT,10
BC,CATH,18
BC,ANOD,15
BC,SEP,9
BMS,MCU,20
BMS,TC,4
TC,BMS,3
TC,PUMP,7
TC,HOSE,5
MOT,MAG,22
MOT,COP,10
MOT,INV,5
INV,MOT,4
INV,MCU,20
INV,CAP,8
GB,GEAR,12
GB,BEAR,6
SUS,SPR,9
SUS,FORGE,11
BRK,PAD,7
BRK,ROT,8
WHL,TIRE,10
WHL,RIM,9
PCB,MCU,20
PCB,SIL,25
PCB,LAM,6
SEN,SIL,25
DIS,LCD,19
DIS,TGL,8
SEAT,FOAM,5
SEAT,FRM,7
DASH,PLAS,6
DASH,LAM,6
UPH,FAB,5
UPH,DYE,4
STL,IRON,14
GLS,SAND,12
PNT,RESIN,9
TGL,GLS,6
FRM,STL,5
PLAS,RESIN,8
CATH,LITH,30
CATH,COBALT,28
ANOD,GRAPHITE,20
ANOD,LITH,25
MAG,RAREEARTH,35
COP,COPPERORE,18
SIL,SILICA,24
IRON,IRONORE,16
SAND,SILICA,14
RESIN,PETRO,11
TIRE,RUBBER,20
FOAM,PETRO,9
